KeyRecordLink|MasterID|TargetID|KeyDataSet|KeyLinkType|LinkConfidence|Transfer
525376|larryfitzgerald_pittsburgh|larryfitzgerald_pittsburgh_2002|6|2|1|0
525377|mikewilliams_usc|mikewilliams_usc_2002|6|2|1|0
525378|tommalone_usc|tommalone_usc_2002|6|2|1|0
525379|skylergreen_lsu|skylergreen_lsu_2002|6|2|1|0
525380|alexsmith_utah|alexsmith_utah_2002|6|2|1|0
525381|adrianpeterson_oklahoma|adrianpeterson_oklahoma_2004|6|2|1|0
525382|jjarrington_california|jjarrington_california_2003|6|2|1|0
525383|deangelowilliams_memphis|deangelowilliams_memphis_2002|6|2|1|0
525384|jamariothomas_northtexas|jamariothomas_northtexas_2004|6|2|1|0
525385|gregeslinger_minnesota|gregeslinger_minnesota_2002|6|2|1|0
525386|marcusmcneill_auburn|marcusmcneill_auburn_2002|6|2|1|0
525387|dbrickashawferguson_virginia|dbrickashawferguson_virginia_2002|6|2|1|0
525388|marksetterstrom_minnesota|marksetterstrom_minnesota_2002|6|2|1|0
525389|daryncolledge_boisestate|daryncolledge_boisestate_2002|6|2|1|0
525390|sambaker_usc|sambaker_usc_2003|6|2|1|0
525391|mathiaskiwanuka_bostoncollege|mathiaskiwanuka_bostoncollege_2002|6|2|1|0
525392|ryanriddle_california|ryanriddle_california_2003|6|2|1|0
525393|jessemahelona_tennessee|jessemahelona_tennessee_2004|6|2|1|0
525394|ajhawk_ohiostate|ajhawk_ohiostate_2002|6|2|1|0
525395|ahmadbrooks_virginia|ahmadbrooks_virginia_2002|6|2|1|0
525396|channingcrowder_florida|channingcrowder_florida_2002|6|2|1|0
525397|erniesims_floridastate|erniesims_floridastate_2003|6|2|1|0
525398|dqwelljackson_maryland|dqwelljackson_maryland_2002|6|2|1|0
525399|brandonfields_michiganstate|brandonfields_michiganstate_2002|6|2|1|0
525400|devinhester_miami|devinhester_miami_2002|6|2|1|0
525401|ashlandavis_tulsa|ashlandavis_tulsa_2004|6|2|1|0
525402|tedginnjr_ohiostate|tedginnjr_ohiostate_2004|6|2|1|0
525403|vinceyoung_texas|vinceyoung_texas_2002|6|2|1|0
525404|deangelowilliams_memphis|deangelowilliams_memphis_2002|6|2|1|0
525405|laurencemaroney_minnesota|laurencemaroney_minnesota_2003|6|2|1|0
525406|jeffsamardzija_notredame|jeffsamardzija_notredame_2003|6|2|1|0
525407|calvinjohnson_georgiatech|calvinjohnson_georgiatech_2004|6|2|1|0
525408|vernondavis_maryland|vernondavis_maryland_2003|6|2|1|0
525409|marcedeslewis_ucla|marcedeslewis_ucla_2002|6|2|1|0
525410|garrettmills_tulsa|garrettmills_tulsa_2002|6|2|1|0
525411|marcusmcneill_auburn|marcusmcneill_auburn_2002|6|2|1|0
525412|maxjeangilles_georgia|maxjeangilles_georgia_2002|6|2|1|0
525413|ericwinston_miami|ericwinston_miami_2002|6|2|1|0
525414|dbrickashawferguson_virginia|dbrickashawferguson_virginia_2002|6|2|1|0
525415|justinblalock_texas|justinblalock_texas_2002|6|2|1|0
525416|davinjoseph_oklahoma|davinjoseph_oklahoma_2002|6|2|1|0
525417|joethomas_wisconsin|joethomas_wisconsin_2003|6|2|1|0
525418|gregeslinger_minnesota|gregeslinger_minnesota_2002|6|2|1|0
525419|nickmangold_ohiostate|nickmangold_ohiostate_2002|6|2|1|0
525420|tambahali_pennstate|tambahali_pennstate_2002|6|2|1|0
525421|elvisdumervil_louisville|elvisdumervil_louisville_2002|6|2|1|0
525422|mariowilliams_northcarolinastate|mariowilliams_northcarolinastate_2003|6|2|1|0
525423|mathiaskiwanuka_bostoncollege|mathiaskiwanuka_bostoncollege_2002|6|2|1|0
525424|darryltapp_virginiatech|darryltapp_virginiatech_2002|6|2|1|0
525425|kamerionwimbley_floridastate|kamerionwimbley_floridastate_2002|6|2|1|0
525426|halotingata_oregon|halotingata_oregon_2002|6|2|1|0
525427|rodriquewright_texas|rodriquewright_texas_2002|6|2|1|0
525428|brodrickbunkley_floridastate|brodrickbunkley_floridastate_2002|6|2|1|0
525429|claudewroten_lsu|claudewroten_lsu_2004|6|2|1|0
525430|kylewilliams_lsu|kylewilliams_lsu_2002|6|2|1|0
