KeyRecordLink|MasterID|TargetID|KeyDataSet|KeyLinkType|LinkConfidence|Transfer
518778|jtbarrett_ohiostate|jtbarrett_ohiostate_2013|4|2|1|0
518779|tracemcsorley_pennstate|tracemcsorley_pennstate_2014|4|2|1|0
518780|claytonthorson_northwestern|claytonthorson_northwestern_2014|4|2|1|0
518781|saquonbarkley_pennstate|saquonbarkley_pennstate_2015|4|2|1|0
518782|jonathantaylor_wisconsin|jonathantaylor_wisconsin_2017|4|2|1|0
518783|justinjackson_northwestern|justinjackson_northwestern_2014|4|2|1|0
518784|jkdobbins_ohiostate|jkdobbins_ohiostate_2017|4|2|1|0
518785|akrumwadley_iowa|akrumwadley_iowa_2013|4|2|1|0
518786|karanhigdon_michigan|karanhigdon_michigan_2015|4|2|1|0
518787|djmoore_maryland|djmoore_maryland_2015|4|2|1|0
518788|daeseanhamilton_pennstate|daeseanhamilton_pennstate_2013|4|2|1|0
518789|feltondavisiii_michiganstate|feltondavisiii_michiganstate_2015|4|2|1|0
518790|parriscampbell_ohiostate|parriscampbell_ohiostate_2014|4|2|1|0
518791|jdspielman_nebraska|jdspielman_nebraska_2016|4|2|1|0
518792|billyprice_ohiostate|billyprice_ohiostate_2013|4|2|1|0
518793|brianallen_michiganstate|brianallen_michiganstate_2014|4|2|1|0
518794|tylerbiadasz_wisconsin|tylerbiadasz_wisconsin_2016|4|2|1|0
518795|beaubenzschawel_wisconsin|beaubenzschawel_wisconsin_2014|4|2|1|0
518796|michaeljordan_ohiostate|michaeljordan_ohiostate_2016|4|2|1|0
518797|seanwelsh_iowa|seanwelsh_iowa_2013|4|2|1|0
518798|benbredeson_michigan|benbredeson_michigan_2016|4|2|1|0
518799|davidbeedle_michiganstate|davidbeedle_michiganstate_2014|4|2|1|0
518800|tommydoles_northwestern|tommydoles_northwestern_2014|4|2|1|0
518801|jamarcojones_ohiostate|jamarcojones_ohiostate_2014|4|2|1|0
518802|michaeldeiter_wisconsin|michaeldeiter_wisconsin_2014|4|2|1|0
518803|masoncole_michigan|masoncole_michigan_2014|4|2|1|0
518804|davidedwards_wisconsin|davidedwards_wisconsin_2015|4|2|1|0
518805|isaiahprince_ohiostate|isaiahprince_ohiostate_2015|4|2|1|0
518806|ryanbates_pennstate|ryanbates_pennstate_2015|4|2|1|0
518807|troyfumagalli_wisconsin|troyfumagalli_wisconsin_2013|4|2|1|0
518808|mikegesicki_pennstate|mikegesicki_pennstate_2014|4|2|1|0
518809|noahfant_iowa|noahfant_iowa_2016|4|2|1|0
518810|nickbosa_ohiostate|nickbosa_ohiostate_2016|4|2|1|0
518811|tyquanlewis_ohiostate|tyquanlewis_ohiostate_2013|4|2|1|0
518812|mauricehurst_michigan|mauricehurst_michigan_2013|4|2|1|0
518813|rashangary_michigan|rashangary_michigan_2016|4|2|1|0
518814|chasewinovich_michigan|chasewinovich_michigan_2014|4|2|1|0
