KeyRecordLink|MasterID|TargetID|KeyDataSet|KeyLinkType|LinkConfidence|Transfer
349019|dariushamilton_rutgers|dariushamilton_rutgers_2012|5|2|1|0
349020|leontecarroo_rutgers|leontecarroo_rutgers_2012|5|2|1|0
349021|chrismuller_rutgers|chrismuller_rutgers_2012|5|2|1|0
349022|jjdenman_rutgers|jjdenman_rutgers_2012|5|2|1|0
349023|quanzelllambert_rutgers|quanzelllambert_rutgers_2012|5|2|1|0
349024|ryanbrodie_rutgers|ryanbrodie_rutgers_2012|5|2|1|0
349025|ruhannpeele_rutgers|ruhannpeele_rutgers_2012|5|2|1|0
349026|julianpinnixodrick_rutgers|julianpinnixodrick_rutgers_2012|5|2|1|0
349027|ianthomas_rutgers|ianthomas_rutgers_2012|5|2|1|0
349028|davonjacobs_rutgers|davonjacobs_rutgers_2012|5|2|1|0
349029|stevelonga_rutgers|stevelonga_rutgers_2012|5|2|1|0
349030|desmonpeoples_rutgers|desmonpeoples_rutgers_2012|5|2|1|0
349031|carltonagudosi_rutgers|carltonagudosi_rutgers_2012|5|2|1|0
349032|blakerankin_rutgers|blakerankin_rutgers_2012|5|2|1|0
349033|derricknelson_rutgers|derricknelson_rutgers_2012|5|2|1|0
349034|kylefederico_rutgers|kylefederico_rutgers_2012|5|2|1|0
349035|vancematthews_rutgers|vancematthews_rutgers_2012|5|2|1|0
349036|bryanstonkus_rutgers|bryanstonkus_rutgers_2012|5|2|1|0
349037|jevontyree_rutgers|jevontyree_rutgers_2012|5|2|1|0
349038|brandonarcidiacono_rutgers|brandonarcidiacono_rutgers_2012|5|2|1|0
349039|delonstephenson_rutgers|delonstephenson_rutgers_2012|5|2|1|0
349040|sampsonjames_indiana|sampsonjames_indiana_2019|5|2|1|0
349041|beaurobbins_indiana|beaurobbins_indiana_2019|5|2|1|0
349042|cameronwilliams_indiana|cameronwilliams_indiana_2019|5|2|1|0
349043|joshsanguinetti_indiana|joshsanguinetti_indiana_2019|5|2|1|0
349044|tiawanmullen_indiana|tiawanmullen_indiana_2019|5|2|1|0
349045|dashaunbrown_indiana|dashaunbrown_indiana_2019|5|2|1|0
349046|dkbonhomme_indiana|dkbonhomme_indiana_2019|5|2|1|0
349047|matthewbedford_indiana|matthewbedford_indiana_2019|5|2|1|0
349048|davidellis_indiana|davidellis_indiana_2019|5|2|1|0
349049|larrytracyiii_indiana|larrytracyiii_indiana_2019|5|2|1|0
349050|jeramypassmore_indiana|jeramypassmore_indiana_2019|5|2|1|0
349051|antoinewhitnerjr_indiana|antoinewhitnerjr_indiana_2019|5|2|1|0
349052|cjperson_indiana|cjperson_indiana_2019|5|2|1|0
349053|jordanjakes_indiana|jordanjakes_indiana_2019|5|2|1|0
349054|garycooper_indiana|garycooper_indiana_2019|5|2|1|0
349055|sionofoagatotoa_indiana|sionofoagatotoa_indiana_2019|5|2|1|0
349056|juanharris_indiana|juanharris_indiana_2019|5|2|1|0
349057|timweaver_indiana|timweaver_indiana_2019|5|2|1|0
349058|demarcuselliott_indiana|demarcuselliott_indiana_2019|5|2|1|0
