KeyRecordLink|MasterID|TargetID|KeyDataSet|KeyLinkType|LinkConfidence|Transfer
382812|larryfitzgerald_pittsburgh|larryfitzgerald_pittsburgh_2002|3|2|1|0
382813|demorriowilliams_nebraska|demorriowilliams_nebraska_2002|3|2|1|0
382814|willpoole_usc|willpoole_usc_2003|3|2|1|0
382815|antoniosmith_oklahomastate|antoniosmith_oklahomastate_2002|3|2|1|0
382816|gibrilwilson_tennessee|gibrilwilson_tennessee_2002|3|2|1|0
382817|alexlewis_wisconsin|alexlewis_wisconsin_2002|3|2|1|0
382818|mauricemann_nevada|mauricemann_nevada_2002|3|2|1|0
382819|derrickpope_alabama|derrickpope_alabama_2002|3|2|1|0
382820|alexsmith_utah|alexsmith_utah_2002|3|2|1|0
382821|adamjones_westvirginia|adamjones_westvirginia_2002|3|2|1|0
382822|troywilliamson_southcarolina|troywilliamson_southcarolina_2002|3|2|1|0
382823|mikewilliams_usc|mikewilliams_usc_2002|3|2|1|0
382824|shawnemerriman_maryland|shawnemerriman_maryland_2002|3|2|1|0
382825|fabianwashington_nebraska|fabianwashington_nebraska_2002|3|2|1|0
382826|aaronrodgers_california|aaronrodgers_california_2003|3|2|1|0
382827|brodneypool_oklahoma|brodneypool_oklahoma_2002|3|2|1|0
382828|jjarrington_california|jjarrington_california_2003|3|2|1|0
382829|odellthurman_georgia|odellthurman_georgia_2003|3|2|1|0
382830|justinmiller_clemson|justinmiller_clemson_2002|3|2|1|0
382831|kelvinhayden_illinois|kelvinhayden_illinois_2003|3|2|1|0
382832|channingcrowder_florida|channingcrowder_florida_2002|3|2|1|0
382833|chrishenry_westvirginia|chrishenry_westvirginia_2002|3|2|1|0
382834|kevineverett_miami|kevineverett_miami_2003|3|2|1|0
382835|atiyyahellison_missouri|atiyyahellison_missouri_2002|3|2|1|0
382836|darrylblackstock_virginia|darrylblackstock_virginia_2002|3|2|1|0
382837|mauriceclarett_ohiostate|mauriceclarett_ohiostate_2002|3|2|1|0
382838|ciatrickfason_florida|ciatrickfason_florida_2002|3|2|1|0
382839|chaunceydavis_floridastate|chaunceydavis_floridastate_2003|3|2|1|0
382840|mattgiordano_california|mattgiordano_california_2003|3|2|1|0
382841|dontenicholson_oklahoma|dontenicholson_oklahoma_2003|3|2|1|0
382842|damiennash_missouri|damiennash_missouri_2003|3|2|1|0
382843|lancemitchell_oklahoma|lancemitchell_oklahoma_2002|3|2|1|0
382844|scottyoung_byu|scottyoung_byu_2002|3|2|1|0
382845|mikemontgomery_texasam|mikemontgomery_texasam_2003|3|2|1|0
382846|ccbrown_louisiana|ccbrown_louisiana_2003|3|2|1|0
382847|deandracobb_michiganstate|deandracobb_michiganstate_2003|3|2|1|0
382848|ryanriddle_california|ryanriddle_california_2003|3|2|1|0
382849|reynaldohill_florida|reynaldohill_florida_2003|3|2|1|0
382850|marcusmaxwell_oregon|marcusmaxwell_oregon_2003|3|2|1|0
382851|jonathanfanene_utah|jonathanfanene_utah_2003|3|2|1|0
382852|darrellshropshire_southcarolina|darrellshropshire_southcarolina_2003|3|2|1|0
382853|mariowilliams_northcarolinastate|mariowilliams_northcarolinastate_2003|3|2|1|0
382854|reggiebush_usc|reggiebush_usc_2003|3|2|1|0
382855|vinceyoung_texas|vinceyoung_texas_2002|3|2|1|0
382856|dbrickashawferguson_virginia|dbrickashawferguson_virginia_2002|3|2|1|0
382857|ajhawk_ohiostate|ajhawk_ohiostate_2002|3|2|1|0
382858|vernondavis_maryland|vernondavis_maryland_2003|3|2|1|0
382859|dontewhitner_ohiostate|dontewhitner_ohiostate_2003|3|2|1|0
382860|erniesims_floridastate|erniesims_floridastate_2003|3|2|1|0
382861|halotingata_oregon|halotingata_oregon_2002|3|2|1|0
382862|kamerionwimbley_floridastate|kamerionwimbley_floridastate_2002|3|2|1|0
382863|brodrickbunkley_floridastate|brodrickbunkley_floridastate_2002|3|2|1|0
382864|jasonallen_tennessee|jasonallen_tennessee_2002|3|2|1|0
382865|bobbycarpenter_ohiostate|bobbycarpenter_ohiostate_2002|3|2|1|0
382866|antoniocromartie_floridastate|antoniocromartie_floridastate_2003|3|2|1|0
382867|tambahali_pennstate|tambahali_pennstate_2002|3|2|1|0
382868|laurencemaroney_minnesota|laurencemaroney_minnesota_2003|3|2|1|0
382869|mannylawson_northcarolinastate|mannylawson_northcarolinastate_2002|3|2|1|0
382870|davinjoseph_oklahoma|davinjoseph_oklahoma_2002|3|2|1|0
382871|johnathanjoseph_southcarolina|johnathanjoseph_southcarolina_2004|3|2|1|0
382872|santonioholmes_ohiostate|santonioholmes_ohiostate_2002|3|2|1|0
382873|johnmccargo_northcarolinastate|johnmccargo_northcarolinastate_2002|3|2|1|0
382874|deangelowilliams_memphis|deangelowilliams_memphis_2002|3|2|1|0
382875|marcedeslewis_ucla|marcedeslewis_ucla_2002|3|2|1|0
382876|nickmangold_ohiostate|nickmangold_ohiostate_2002|3|2|1|0
382877|mathiaskiwanuka_bostoncollege|mathiaskiwanuka_bostoncollege_2002|3|2|1|0
382878|demecoryans_alabama|demecoryans_alabama_2002|3|2|1|0
382879|dqwelljackson_maryland|dqwelljackson_maryland_2002|3|2|1|0
382880|chadjackson_florida|chadjackson_florida_2003|3|2|1|0
382881|jimmywilliams_virginiatech|jimmywilliams_virginiatech_2002|3|2|1|0
382882|winstonjustice_usc|winstonjustice_usc_2002|3|2|1|0
382883|sinoricemoss_miami|sinoricemoss_miami_2002|3|2|1|0
382884|lendalewhite_usc|lendalewhite_usc_2003|3|2|1|0
382885|daryncolledge_boisestate|daryncolledge_boisestate_2002|3|2|1|0
382886|marcusmcneill_auburn|marcusmcneill_auburn_2002|3|2|1|0
382887|anthonyfasano_notredame|anthonyfasano_notredame_2002|3|2|1|0
382888|bernardpollard_purdue|bernardpollard_purdue_2003|3|2|1|0
382889|devinhester_miami|devinhester_miami_2002|3|2|1|0
382890|richardmarshall_fresnostate|richardmarshall_fresnostate_2002|3|2|1|0
382891|mauricejonesdrew_ucla|mauricejonesdrew_ucla_2003|3|2|1|0
382892|timjennings_georgia|timjennings_georgia_2002|3|2|1|0
382893|darryltapp_virginiatech|darryltapp_virginiatech_2002|3|2|1|0
382894|ericwinston_miami|ericwinston_miami_2002|3|2|1|0
382895|claudewroten_lsu|claudewroten_lsu_2004|3|2|1|0
382896|ashtonyouboty_ohiostate|ashtonyouboty_ohiostate_2003|3|2|1|0
382897|leonardpope_georgia|leonardpope_georgia_2002|3|2|1|0
382898|jeriousnorwood_mississippistate|jeriousnorwood_mississippistate_2002|3|2|1|0
382899|derekhagan_arizonastate|derekhagan_arizonastate_2002|3|2|1|0
382900|brandonwilliams_wisconsin|brandonwilliams_wisconsin_2002|3|2|1|0
382901|davidthomas_texas|davidthomas_texas_2002|3|2|1|0
382902|mauricestovall_notredame|mauricestovall_notredame_2002|3|2|1|0
382903|dominiquebyrd_usc|dominiquebyrd_usc_2002|3|2|1|0
382904|maxjeangilles_georgia|maxjeangilles_georgia_2002|3|2|1|0
382905|darnellbing_usc|darnellbing_usc_2002|3|2|1|0
382906|calvinlowry_pennstate|calvinlowry_pennstate_2002|3|2|1|0
382907|kosimpson_southcarolina|kosimpson_southcarolina_2004|3|2|1|0
382908|garrettmills_tulsa|garrettmills_tulsa_2002|3|2|1|0
382909|gabewatson_michigan|gabewatson_michigan_2002|3|2|1|0
382910|jasonavant_michigan|jasonavant_michigan_2002|3|2|1|0
382911|leonwashington_floridastate|leonwashington_floridastate_2002|3|2|1|0
382912|stephengostkowski_memphis|stephengostkowski_memphis_2002|3|2|1|0
382913|brandonmarshall_centralflorida|brandonmarshall_centralflorida_2002|3|2|1|0
