KeyRecordLink|MasterID|TargetID|KeyDataSet|KeyLinkType|LinkConfidence|Transfer
472298|alanbranch_michigan_2004|alanbranch_michigan_2004|2|2|1|0
472299|craigroh_michigan_2009|craigroh_michigan_2009|2|2|1|0
472300|dremoore_maryland_2003|dremoore_maryland_2003|2|2|1|0
472301|ryanblaszczyk_rutgers_2005|ryanblaszczyk_rutgers_2005|2|2|1|0
472302|joeyelliott_purdue_2005|joeyelliott_purdue_2005|2|2|1|0
472303|devonmatthews_indiana_2018|devonmatthews_indiana_2018|2|2|1|0
472304|carloshyde_ohiostate_2009|carloshyde_ohiostate_2009|2|2|1|0
472305|quintonjefferson_maryland_2011|quintonjefferson_maryland_2011|2|2|1|0
472306|tylerhayek_rutgers_2017|tylerhayek_rutgers_2017|2|2|1|0
472307|jackbouwmeester_michiganstate_2019|jackbouwmeester_michiganstate_2019|2|2|1|0
472308|leviduwa_iowa_2017|leviduwa_iowa_2017|2|2|1|0
472309|adamdecker_michiganstate_2005|adamdecker_michiganstate_2005|2|2|1|0
472310|tyleradetona_indiana_2008|tyleradetona_indiana_2008|2|2|1|0
472311|scottburley_maryland_2004|scottburley_maryland_2004|2|2|1|0
472312|johntsimis_rutgers_2013|johntsimis_rutgers_2013|2|2|1|0
472313|codybyers_wisconsin_2010|codybyers_wisconsin_2010|2|2|1|0
472314|brandonarcidiacono_rutgers_2012|brandonarcidiacono_rutgers_2012|2|2|1|0
472315|shaunprater_iowa_2008|shaunprater_iowa_2008|2|2|1|0
472316|jeremyito_rutgers_2004|jeremyito_rutgers_2004|2|2|1|0
472317|brandonsmith_pennstate_2019|brandonsmith_pennstate_2019|2|2|1|0
472318|tommyeichenberg_ohiostate_2019|tommyeichenberg_ohiostate_2019|2|2|1|0
472319|chrisrogers_michigan_2004|chrisrogers_michigan_2004|2|2|1|0
472320|sampsonjames_indiana_2019|sampsonjames_indiana_2019|2|2|1|0
472321|geronimoallison_illinois_2014|geronimoallison_illinois_2014|2|2|1|0
472322|zoltanmesko_michigan_2005|zoltanmesko_michigan_2005|2|2|1|0
472323|trulonhenry_illinois_2010|trulonhenry_illinois_2010|2|2|1|0
472324|quintinpatilla_michigan_2006|quintinpatilla_michigan_2006|2|2|1|0
472325|adamlemkebell_northwestern_2015|adamlemkebell_northwestern_2015|2|2|1|0
472326|treyleroux_ohiostate_2020|treyleroux_ohiostate_2020|2|2|1|0
472327|willhampton_northwestern_2010|willhampton_northwestern_2010|2|2|1|0
472328|fredsmith_michiganstate_2008|fredsmith_michiganstate_2008|2|2|1|0
472329|antoinebagwell_nebraska_2002|antoinebagwell_nebraska_2002|2|2|1|0
472330|nathanielrobinson_rutgers_2003|nathanielrobinson_rutgers_2003|2|2|1|0
472331|davidhedelin_purdue_2014|davidhedelin_purdue_2014|2|2|1|0
472332|trevonmorgan_michiganstate_2019|trevonmorgan_michiganstate_2019|2|2|1|0
472333|baronbrowning_ohiostate_2017|baronbrowning_ohiostate_2017|2|2|1|0
472334|tonydavis_pennstate_2004|tonydavis_pennstate_2004|2|2|1|0
472335|tyrinstonedavis_illinois_2014|tyrinstonedavis_illinois_2014|2|2|1|0
472336|lukefulton_michiganstate_2019|lukefulton_michiganstate_2019|2|2|1|0
472337|mattrobinson_maryland_2010|mattrobinson_maryland_2010|2|2|1|0
472338|ryanhill_nebraska_2007|ryanhill_nebraska_2007|2|2|1|0
472339|brandonwalkerroby_indiana_2005|brandonwalkerroby_indiana_2005|2|2|1|0
472340|mauricebuchanan_minnesota_2002|mauricebuchanan_minnesota_2002|2|2|1|0
472341|cjolaniyan_pennstate_2010|cjolaniyan_pennstate_2010|2|2|1|0
472342|joshmyers_ohiostate_2017|joshmyers_ohiostate_2017|2|2|1|0
472343|carloscarriere_maryland_2017|carloscarriere_maryland_2017|2|2|1|0
472344|berkeleyholman_northwestern_2017|berkeleyholman_northwestern_2017|2|2|1|0
472345|eseziotomewo_minnesota_2017|eseziotomewo_minnesota_2017|2|2|1|0
472346|bencotton_nebraska_2008|bencotton_nebraska_2008|2|2|1|0
472347|armsteadwilliams_purdue_2011|armsteadwilliams_purdue_2011|2|2|1|0
472348|cesarruiz_michigan_2017|cesarruiz_michigan_2017|2|2|1|0
472349|morgancarter_rutgers_2008|morgancarter_rutgers_2008|2|2|1|0
472350|davidhorne_nebraska_2002|davidhorne_nebraska_2002|2|2|1|0
472351|frankhalliburton_purdue_2005|frankhalliburton_purdue_2005|2|2|1|0
472352|markarcidiacono_pennstate_2009|markarcidiacono_pennstate_2009|2|2|1|0
472353|quinnbarham_pennstate_2007|quinnbarham_pennstate_2007|2|2|1|0
472354|joshplohr_illinois_2019|joshplohr_illinois_2019|2|2|1|0
472355|jeromejackson_michigan_2003|jeromejackson_michigan_2003|2|2|1|0
472356|joshhannum_pennstate_2002|joshhannum_pennstate_2002|2|2|1|0
472357|jahkeemgreen_nebraska_2019|jahkeemgreen_nebraska_2019|2|2|1|0
472358|quintinmccree_maryland_2007|quintinmccree_maryland_2007|2|2|1|0
472359|timfaison_purdue_2015|timfaison_purdue_2015|2|2|1|0
472360|devontecampbell_maryland_2007|devontecampbell_maryland_2007|2|2|1|0
472361|keyonbrown_purdue_2005|keyonbrown_purdue_2005|2|2|1|0
472362|jdgriggs_iowa_2008|jdgriggs_iowa_2008|2|2|1|0
472363|vincentsmith_michigan_2009|vincentsmith_michigan_2009|2|2|1|0
472364|derricknelson_rutgers_2012|derricknelson_rutgers_2012|2|2|1|0
472365|jasebowen_michiganstate_2019|jasebowen_michiganstate_2019|2|2|1|0
472366|rickygarner_wisconsin_2006|rickygarner_wisconsin_2006|2|2|1|0
472367|lawtezrogers_maryland_2017|lawtezrogers_maryland_2017|2|2|1|0
472368|connormahoney_northwestern_2012|connormahoney_northwestern_2012|2|2|1|0
472369|chrisfields_ohiostate_2009|chrisfields_ohiostate_2009|2|2|1|0
472370|erikgibson_minnesota_2018|erikgibson_minnesota_2018|2|2|1|0
472371|douglasemilien_minnesota_2020|douglasemilien_minnesota_2020|2|2|1|0
472372|aarongant_ohiostate_2006|aarongant_ohiostate_2006|2|2|1|0
472373|treysneed_rutgers_2016|treysneed_rutgers_2016|2|2|1|0
472374|noelpadmore_indiana_2013|noelpadmore_indiana_2013|2|2|1|0
472375|nilespaul_nebraska_2007|nilespaul_nebraska_2007|2|2|1|0
472376|dionsims_michiganstate_2009|dionsims_michiganstate_2009|2|2|1|0
472377|omaurysamuels_michigan_2017|omaurysamuels_michigan_2017|2|2|1|0
472378|troyreilly_minnesota_2005|troyreilly_minnesota_2005|2|2|1|0
472379|kennyknight_illinois_2011|kennyknight_illinois_2011|2|2|1|0
472380|kennethkirksey_rutgers_2010|kennethkirksey_rutgers_2010|2|2|1|0
472381|briangaia_pennstate_2012|briangaia_pennstate_2012|2|2|1|0
472382|zachzwinak_pennstate_2010|zachzwinak_pennstate_2010|2|2|1|0
472383|erichedstrom_purdue_2005|erichedstrom_purdue_2005|2|2|1|0
472384|adrianamos_pennstate_2011|adrianamos_pennstate_2011|2|2|1|0
472385|kylemcavoy_minnesota_2011|kylemcavoy_minnesota_2011|2|2|1|0
472386|cardalejones_ohiostate_2012|cardalejones_ohiostate_2012|2|2|1|0
472387|lamonteedwards_minnesota_2010|lamonteedwards_minnesota_2010|2|2|1|0
472388|royhelu_nebraska_2007|royhelu_nebraska_2007|2|2|1|0
472389|traewilliams_northwestern_2015|traewilliams_northwestern_2015|2|2|1|0
472390|scottmoss_illinois_2002|scottmoss_illinois_2002|2|2|1|0
472391|jessecoffey_nebraska_2009|jessecoffey_nebraska_2009|2|2|1|0
472392|ericpeterman_northwestern_2005|ericpeterman_northwestern_2005|2|2|1|0
472393|jordankerner_pennstate_2011|jordankerner_pennstate_2011|2|2|1|0
472394|julianhayes_rutgers_2006|julianhayes_rutgers_2006|2|2|1|0
472395|marqueswilkins_illinois_2006|marqueswilkins_illinois_2006|2|2|1|0
472396|calebgriffin_illinois_2018|calebgriffin_illinois_2018|2|2|1|0
472397|jerohmfields_indiana_2002|jerohmfields_indiana_2002|2|2|1|0
472398|byersoncockrell_nebraska_2014|byersoncockrell_nebraska_2014|2|2|1|0
472399|malikbarrow_ohiostate_2016|malikbarrow_ohiostate_2016|2|2|1|0
472400|leecoleman_northwestern_2006|leecoleman_northwestern_2006|2|2|1|0
472401|javonteferguson_purdue_2016|javonteferguson_purdue_2016|2|2|1|0
472402|williambeckford_rutgers_2002|williambeckford_rutgers_2002|2|2|1|0
472403|cobranimixon_michigan_2006|cobranimixon_michigan_2006|2|2|1|0
472404|tomsavage_rutgers_2009|tomsavage_rutgers_2009|2|2|1|0
472405|austonrobertson_michiganstate_2016|austonrobertson_michiganstate_2016|2|2|1|0
472406|michaelturner_wisconsin_2003|michaelturner_wisconsin_2003|2|2|1|0
472407|kamrynbabb_ohiostate_2018|kamrynbabb_ohiostate_2018|2|2|1|0
472408|mandelaroberts_indiana_2006|mandelaroberts_indiana_2006|2|2|1|0
472409|garymoore_minnesota_2014|garymoore_minnesota_2014|2|2|1|0
472410|tommyfuessel_northwestern_2013|tommyfuessel_northwestern_2013|2|2|1|0
472411|noahjones_michiganstate_2013|noahjones_michiganstate_2013|2|2|1|0
472412|traveonhenry_northwestern_2012|traveonhenry_northwestern_2012|2|2|1|0
472413|greggooch_indiana_2014|greggooch_indiana_2014|2|2|1|0
472414|jessejames_pennstate_2012|jessejames_pennstate_2012|2|2|1|0
