,sourceID,targetID,PlayerName,Year,Sum
"('alihighsmith_lsu', 'alihighsmith_miami_2003')",alihighsmith_lsu,alihighsmith_miami_2003,1.0,1.0,1.0
"('anthonyfera_texas', 'anthonyfera_pennstate_2009')",anthonyfera_texas,anthonyfera_pennstate_2009,1.0,1.0,1.0
"('arthurbrown_kansasstate', 'arthurbrown_miami_2008')",arthurbrown_kansasstate,arthurbrown_miami_2008,1.0,1.0,1.0
"('chasebeeler_stanford', 'chasebeeler_iowastate_2006')",chasebeeler_stanford,chasebeeler_iowastate_2006,1.0,1.0,1.0
"('chrismiller_ballstate', 'chrismiller_oregonstate_2004')",chrismiller_ballstate,chrismiller_oregonstate_2004,1.0,1.0,1.0
"('jarvisjones_georgia', 'jarvisjones_lsu_2007')",jarvisjones_georgia,jarvisjones_lsu_2007,1.0,1.0,1.0
"('jjwatt_wisconsin', 'jjwatt_centralmichigan_2007')",jjwatt_wisconsin,jjwatt_centralmichigan_2007,1.0,1.0,1.0
"('johnsullivan_newmexico', 'johnsullivan_notredame_2003')",johnsullivan_newmexico,johnsullivan_notredame_2003,1.0,1.0,1.0
"('jordanwhite_westernmichigan', 'jordanwhite_floridainternational_2010')",jordanwhite_westernmichigan,jordanwhite_floridainternational_2010,1.0,1.0,1.0
"('joshdoctson_tcu', 'joshdoctson_wyoming_2011')",joshdoctson_tcu,joshdoctson_wyoming_2011,1.0,1.0,1.0
"('mikejohnson_alabama', 'mikejohnson_tulsa_2007')",mikejohnson_alabama,mikejohnson_tulsa_2007,1.0,1.0,1.0
"('reggiedunn_utah', 'reggiedunn_oregonstate_2009')",reggiedunn_utah,reggiedunn_oregonstate_2009,1.0,1.0,1.0
"('ryanallen_louisianatech', 'ryanallen_oregonstate_2008')",ryanallen_louisianatech,ryanallen_oregonstate_2008,1.0,1.0,1.0
"('travisjohnson_floridastate', 'travisjohnson_newmexicostate_2003')",travisjohnson_floridastate,travisjohnson_newmexicostate_2003,1.0,1.0,1.0
