,sourceID,targetID,PlayerName,StandardizedPosition,KeyPositionGroup,Year,Sum
"('aaronboumerhi_temple', 'aaronmedley_tennessee_2014')",aaronboumerhi_temple,aaronmedley_tennessee_2014,0.46153846153846156,1,1,1.0,0.8653846153846154
"('aaronduckworth_idaho', 'davontucker_westernmichigan_2015')",aaronduckworth_idaho,davontucker_westernmichigan_2015,0.5,1,1,1.0,0.875
"('aaronfortenberry_northtexas', 'brandonlinder_miami_2010')",aaronfortenberry_northtexas,brandonlinder_miami_2010,0.375,1,1,1.0,0.84375
"('aaronlynch_southflorida', 'adariusrayner_indiana_2011')",aaronlynch_southflorida,adariusrayner_indiana_2011,0.3846153846153846,1,1,1.0,0.8461538461538461
"('aaronrobinson_centralflorida', 'aaronrobinson_alabama_2016')",aaronrobinson_centralflorida,aaronrobinson_alabama_2016,1.0,1,1,1.0,1.0
"('aaronwebster_cincinnati', 'adrianwhite_texas_2010')",aaronwebster_cincinnati,adrianwhite_texas_2010,0.41666666666666663,1,1,1.0,0.8541666666666666
"('abelucas_washingtonstate', 'zachlucas_oregonstate_2015')",abelucas_washingtonstate,zachlucas_oregonstate_2015,0.6666666666666667,1,1,1.0,0.9166666666666667
"('adambismowaty_pittsburgh', 'adambisnowaty_pittsburgh_2012')",adambismowaty_pittsburgh,adambisnowaty_pittsburgh_2012,0.9230769230769231,1,1,1.0,0.9807692307692308
"('adamsmith_westernkentucky', 'aslamsterling_kansas_2010')",adamsmith_westernkentucky,aslamsterling_kansas_2010,0.3846153846153846,1,1,1.0,0.8461538461538461
"('adamwest_navy', 'adamdepietro_northwestern_2012')",adamwest_navy,adamdepietro_northwestern_2012,0.5,1,1,1.0,0.875
"('addaeaddae_centralmichigan', 'adrianwhite_texas_2010')",addaeaddae_centralmichigan,adrianwhite_texas_2010,0.36363636363636365,1,1,1.0,0.8409090909090909
"('adrianawasom_northtexas', 'lancecarson_oklahomastate_2002')",adrianawasom_northtexas,lancecarson_oklahomastate_2002,0.25,1,1,1.0,0.8125
"('adrianbellard_texasstate', 'darrianmiller_kentucky_2011')",adrianbellard_texasstate,darrianmiller_kentucky_2011,0.5384615384615384,1,1,1.0,0.8846153846153846
"('adrianbushell_louisville', 'geneanderson_southernmississippi_2007')",adrianbushell_louisville,geneanderson_southernmississippi_2007,0.15384615384615385,1,1,1.0,0.7884615384615384
"('adrianhardy_louisianatech', 'adrianhardy_oklahoma_2016')",adrianhardy_louisianatech,adrianhardy_oklahoma_2016,1.0,1,1,1.0,1.0
"('adriankillinsjr_centralflorida', 'rodrickwilliamsjr_minnesota_2012')",adriankillinsjr_centralflorida,rodrickwilliamsjr_minnesota_2012,0.5882352941176471,1,1,1.0,0.8970588235294118
"('aikeemcoleman_idaho', 'adammclean_maryland_2015')",aikeemcoleman_idaho,adammclean_maryland_2015,0.5384615384615384,1,1,1.0,0.8846153846153846
