,sourceID,targetID,PlayerName,StandardizedPosition,KeyPositionGroup,Year,Sum
"('aaronlynch_southflorida', 'aaronlynch_notredame_2011')",aaronlynch_southflorida,aaronlynch_notredame_2011,1.0,1,1,1.0,1.0
"('adriancolbert_miami', 'adriancolbert_texas_2012')",adriancolbert_miami,adriancolbert_texas_2012,1.0,1,1,1.0,1.0
"('arlingtonhambright_colorado', 'arlingtonhambright_oklahomastate_2017')",arlingtonhambright_colorado,arlingtonhambright_oklahomastate_2017,1.0,1,1,1.0,1.0
"('averymoss_', 'averymoss_nebraska_2012')",averymoss_,averymoss_nebraska_2012,1.0,1,1,1.0,1.0
"('beausandland_', 'beausandland_miami_2013')",beausandland_,beausandland_miami_2013,1.0,1,1,1.0,1.0
"('bendinucci_', 'bendinucci_pittsburgh_2015')",bendinucci_,bendinucci_pittsburgh_2015,1.0,1,1,1.0,1.0
"('blakecountess_auburn', 'blakecountess_michigan_2011')",blakecountess_auburn,blakecountess_michigan_2011,1.0,1,1,1.0,1.0
"('brandonparker_', 'brandonfarmer_southernmississippi_2012')",brandonparker_,brandonfarmer_southernmississippi_2012,0.8461538461538461,1,1,1.0,0.9615384615384616
"('brendanlangley_', 'brendanlangley_georgia_2013')",brendanlangley_,brendanlangley_georgia_2013,1.0,1,1,1.0,1.0
"('christianwesterman_arizonastate', 'christianwesterman_auburn_2011')",christianwesterman_arizonastate,christianwesterman_auburn_2011,1.0,1,1,1.0,1.0
"('chriswilliamson_minnesota', 'chriswilliamson_florida_2015')",chriswilliamson_minnesota,chriswilliamson_florida_2015,1.0,1,1,1.0,1.0
"('coletoner_', 'coleturner_wyoming_2014')",coletoner_,coleturner_wyoming_2014,0.8,1,1,1.0,0.95
"('dannyetling_lsu', 'dannyetling_purdue_2013')",dannyetling_lsu,dannyetling_purdue_2013,1.0,1,1,1.0,1.0
"('darryljohnson_', 'darryljohnson_louisiana_2014')",darryljohnson_,darryljohnson_louisiana_2014,1.0,1,1,1.0,1.0
"('davidjohnson_', 'xavierjohnson_southalabama_2013')",davidjohnson_,xavierjohnson_southalabama_2013,0.7692307692307692,1,1,1.0,0.9423076923076923
"('daviswebb_california', 'daviswebb_texastech_2013')",daviswebb_california,daviswebb_texastech_2013,1.0,1,1,1.0,1.0
"('davontaeharris_', 'devanteharris_texasam_2012')",davontaeharris_,devanteharris_texasam_2012,0.7857142857142857,1,1,1.0,0.9464285714285714
"('devinasiasi_ucla', 'devinasiasi_michigan_2016')",devinasiasi_ucla,devinasiasi_michigan_2016,1.0,1,1,1.0,1.0
"('devinlucien_arizonastate', 'devinlucien_ucla_2011')",devinlucien_arizonastate,devinlucien_ucla_2011,1.0,1,1,1.0,1.0
