college,FiveDrafted,FourDrafted,ThreeDrafted,TwoDrafted,OneDrafted,FiveUndrafted,FourUndrafted,ThreeUndrafted,TwoUndrafted,OneUndrafted,DraftedCountNFL,UndraftedCountNFL
airforce,0,0,0,0,1,0,0,6,73,216,1,0
akron,0,0,1,2,1,0,0,57,227,77,4,0
alabama,27,45,20,0,7,9,99,120,13,121,95,0
alabamabirmingham,0,0,1,3,0,0,1,93,238,122,4,0
appalachianstate,0,0,0,4,10,0,0,20,68,176,13,0
arizona,0,3,14,4,5,0,28,219,55,110,22,0
arizonastate,0,5,21,2,4,1,40,224,33,97,29,0
arkansas,1,18,19,5,4,1,40,233,33,132,40,0
arkansasstate,0,0,0,6,2,0,2,81,245,125,8,0
army,0,0,0,0,1,0,0,9,166,518,1,0
auburn,5,23,20,2,3,6,99,179,30,132,51,0
ballstate,0,0,2,2,1,0,0,47,200,86,3,0
baylor,0,7,14,4,6,2,13,205,75,188,25,0
boisestate,0,0,20,10,3,0,3,148,112,86,33,0
bostoncollege,0,3,21,4,3,1,15,201,38,65,28,0
bowlinggreen,0,0,1,4,0,0,0,74,206,82,3,0
buffalo,0,0,0,6,3,0,1,38,208,76,9,0
byu,0,4,7,3,2,1,11,166,116,114,13,0
california,3,13,19,4,9,1,49,172,19,139,42,0
centralflorida,0,1,12,8,1,0,10,152,126,104,20,0
centralmichigan,0,0,0,6,2,0,0,73,220,71,5,0
charlotte,0,0,0,2,2,0,0,16,49,123,3,0
cincinnati,0,0,7,13,7,0,7,158,121,92,23,0
clemson,11,28,28,2,4,1,62,143,26,97,68,0
coastalcarolina,0,0,0,0,7,0,0,5,16,189,7,0
colorado,1,2,14,3,4,1,24,211,61,87,20,0
coloradostate,0,0,5,6,1,0,0,126,194,100,12,0
duke,0,1,3,1,0,0,9,181,103,52,5,0
eastcarolina,0,0,5,3,4,0,0,110,188,103,11,0
easternmichigan,0,0,0,4,1,0,0,40,248,95,5,0
florida,24,39,22,0,7,13,103,113,6,92,85,0
floridaatlantic,0,0,1,4,5,0,0,50,110,113,10,0
floridainternational,0,0,1,6,2,0,1,61,183,91,7,0
floridastate,21,30,18,0,4,20,120,112,8,109,67,0
fresnostate,0,1,7,7,6,0,2,103,151,105,19,0
georgia,19,35,20,1,4,9,104,135,10,69,69,0
georgiasouthern,0,0,2,0,4,0,0,35,35,127,5,0
georgiastate,0,0,0,1,1,0,0,14,74,128,2,0
georgiatech,1,3,15,3,6,0,17,179,55,90,27,0
hawaii,0,0,4,7,8,0,3,94,183,93,14,0
houston,1,0,9,3,3,0,4,175,134,119,15,0
illinois,2,6,17,1,2,0,20,192,77,115,25,0
indiana,0,0,12,5,2,0,4,183,111,93,16,0
iowa,1,8,30,8,7,3,19,167,44,140,49,0
iowastate,0,0,9,3,0,0,8,226,96,131,9,0
kansas,0,0,8,3,2,0,5,225,70,106,12,0
kansasstate,0,1,11,3,7,0,20,236,73,97,19,0
kentstate,0,0,1,5,0,0,0,52,226,79,6,0
kentucky,0,3,9,2,7,1,20,157,17,213,19,0
liberty,0,0,0,0,3,0,0,4,5,164,3,0
louisiana,0,0,2,7,0,0,0,48,242,90,9,0
louisianamonroe,0,0,0,0,0,0,0,30,285,70,0,0
louisianatech,0,0,9,3,3,0,1,104,170,110,13,0
louisville,1,4,25,5,7,0,24,195,67,143,37,0
lsu,11,49,25,2,5,8,129,118,4,87,84,0
marshall,0,0,2,3,2,0,6,136,189,124,6,0
