,247_index,school,year,playerName,highSchool,city,state,position,height,weight,compRating,compStars,nationalRank,positionRank,stateRank,247Rating,247Stars,247positionRank,247stateRank,displayName,ID,247nationalRank,confidence,rivalsrivals_index,rivalsschool,rivalsyear,rivalsplayerName,rivalscity,rivalsstate,rivalshighSchool,rivalsposition,rivalsheight,rivalsweight,rivalsstars,rivalsnationalRank,rivalspositionRank,rivalsstateRank,rivalsdisplayName,rivalsID,rivalsrawSchool
0,5,nebraska,2012,michaelroseivey,Rockhurst,Kansas City,MO,ILB,72.0,225,0.9032,4,297,14,7, 95  ,8.0,8,3,Michael Rose-Ivey,michaelroseivey_nebraska,138,0.819047619047619,4909,nebraska,2012,michaelrose,Kansas City,MO,Rockhurst,LB,72.0,230.0,3,,15.0,5.0,Michael Rose,michaelrose_nebraska,
1,57,indiana,2019,joshsanguinetti,University School,Fort Lauderdale,FL,S,74.0,171,0.8880,3,417,35,50, 88  ,6.0,47,63,Josh Sanguinetti,joshsanguinetti_indiana,,0.8403361344537815,4314,indiana,2019,joshuasanguinetti,Fort Lauderdale,FL,University School,DB,74.0,170.0,3,,51.0,60.0,Joshua Sanguinetti,joshuasanguinetti_indiana,
2,63,indiana,2019,larrytracyiii,Decatur Central,Indianapolis,IN,CB,70.0,175,0.8600,3,878,78,12, 84  ,6.0,124,16,Larry Tracy III,larrytracyiii_indiana,,0.8241758241758241,367,indiana,2019,larrytracy,Indianapolis,IN,Decatur Central,DB,71.0,175.0,3,,61.0,6.0,Larry Tracy,larrytracy_indiana,
3,66,indiana,2019,antoinewhitnerjr,IMG Academy,Bradenton,FL,OG,76.0,295,0.8559,3,973,53,132, 85  ,6.0,60,153,Antoine Whitner Jr.,antoinewhitnerjr_indiana,,0.8392857142857143,3376,indiana,2019,antoinewhitner,Bradenton,FL,IMG Academy,DT,77.0,295.0,3,,46.0,,Antoine Whitner,antoinewhitner_indiana,
4,99,ohiostate,2018,nicholaspetitfrere,Berkeley Prep,Tampa,FL,OT,78.0,272,0.9963,5,7,1,3, 98  ,10.0,1,2,Nicholas Petit-Frere,nicholaspetitfrere_ohiostate,9,0.8174603174603174,3866,ohiostate,2018,nickpetitfrere,Tampa,FL,Berkeley Prep,OL,77.0,265.0,5,11.0,1.0,3.0,Nick Petit-Frere,nickpetitfrere_ohiostate,
5,109,ohiostate,2018,kamrynbabb,Christian Brothers College,Saint Louis,MO,WR,73.0,189,0.9629,4,73,13,3, 97  ,8.0,7,1,Kamryn Babb,kamrynbabb_ohiostate,36,0.8416771400642368,4681,ohiostate,2018,cameronbrown,St. Louis,MO,Christian Brothers College High,WR,73.0,175.0,3,,76.0,9.0,Cameron Brown,cameronbrown_ohiostate,
6,115,ohiostate,2018,antwuanjacksonjr,Blinn College,Brenham,TX,DT,74.25,305,0.9290,4,1,1,1, 93  ,8.0,1,1,Antwuan Jackson Jr.,antwuanjacksonjr_ohiostate,1,0.9162087912087912,2299,ohiostate,2018,antwuanjackson,Brenham,TX,Blinn C.C.,DT,74.0,305.0,4,3.0,,,Antwuan Jackson,antwuanjackson_ohiostate,
7,120,ohiostate,2018,cameronbrown,Christian Brothers College,Saint Louis,MO,WR,73.0,175,0.8971,4,323,54,6, 92  ,8.0,35,5,Cameron Brown,cameronbrown_ohiostate,224,0.8416771400642368,118,ohiostate,2018,kamrynbabb,St. Louis,MO,Christian Brothers College High,WR,73.0,175.0,4,174.0,31.0,5.0,Kamryn Babb,kamrynbabb_ohiostate,
8,134,rutgers,2004,darrensalinardi,Hudson Catholic,Jersey City,NJ,DT,76.0,285,0.7667,2,970,69,33,  N/A  ,2.0,N/A,N/A,Darren Salinardi,darrensalinardi_rutgers,,0.9523809523809524,594,rutgers,2004,joesalinardi,Jersey City,NJ,Hudson Catholic,DT,76.0,285.0,2,,,,Joe Salinardi,joesalinardi_rutgers,
9,138,rutgers,2004,joesalinardi,Hudson Catholic,Jersey City,NJ,DT,76.0,285,0.7667,2,NA,82,41,  N/A  ,2.0,N/A,N/A,Joe Salinardi,joesalinardi_rutgers,,0.9523809523809524,186,rutgers,2004,darrensalinardi,Jersey City,NJ,Hudson Catholic,DT,76.0,285.0,2,,,,Darren Salinardi,darrensalinardi_rutgers,
10,150,michigan,2015,tyronewheatleyjr,Canisius,Buffalo,NY,TE,78.0,260,0.8953,4,312,12,1, 90  ,8.0,13,1,Tyrone Wheatley Jr.,tyronewheatleyjr_michigan,,0.9821428571428571,998,michigan,2015,tyronewheatley,Buffalo,NY,Canisius,TE,78.0,245.0,4,,13.0,1.0,Tyrone Wheatley,tyronewheatley_michigan,
