Year,POSITION,First Name,Last Name,School ,Team
2002,QB,Matt,Schaub,Virginia,1st
2002,RB, Chris,Downs,Maryland,1st
2002,RB, T.A. ,McLendon,NC State,1st
2002,WR, Jerricho,Cotchery,NC State,1st
2002,WR,Billy,McMullen,Virginia,1st
2002,TE, Sean,Berton,NC State,1st
2002,T, Brett,Williams,Florida State,1st
2002,T, Matt,Crawford,Maryland,1st
2002,G, Montrae,Holland,Florida State,1st
2002,G, Blake,Henry,Wake Forrest,1st
2002,C,Todd,Wike,Maryland,1st
2002,PK, Nick,Novak,Maryland,1st
2002,DL, Alonzo,Jackson,Florida State,1st
2002,DL, Calvin,Pace,Wake Forrest,1st
2002,DL, Shawn,Johnson,Duke,1st
2002,DL, Nick,Eason,Clemson,1st
2002,LB, E.J.,Henderson,Maryland,1st
2002,LB, Dantonio,Burnette,NC State,1st
2002,LB, Angelo,Crowell,Virginia,1st
2002,DB, Terrence,Holt,NC State,1st
2002,DB,Jeremy,Muyres,Georgia Tech,1st
2002,DB, Dexter, Reid,North Carolina,1st
2002,DB, Domonique ,Foxworth,Maryland,1st
2002,SP, Steve,Suter,Maryland,1st
2002,P, Brooks, Barnard,Maryland,1st
2002,QB, Philip,River,NC State,2nd
2002,RB,Greg, Jones,Florida State,2nd
2002,RB,Alex,Wade,Duke,2nd
2002,WR,Kerry,Watkins,Georgia Tech,2nd
2002,WR,Anquan,Boldin,Florida State,2nd
2002,TE,Heath,Miller,Virginia,2nd
2002,T,Nat,Dorsey,Georgia Tech,2nd
2002,T,Chris,Colmer,NC State,2nd
2002,G,Lamar,Bryant,Maryland,2nd
2002,G,Shane,Riggs,NC State,2nd
2002,C,Antoine,Mirambeau,Florida State,2nd
2002,PK,Luke,Manget,Georgia Tech,2nd
2002,DL,Chris,Canty,Virginia,2nd
2002,DL,Shawn,Price,NC State,2nd
2002,DL,Randy,Starks,Maryland,2nd
2002,DL,Bryant,McNeal,Clemson,2nd
2002,LB,Mike,Boulware,Florida State,2nd
2002,LB,Recardo,Wimbush,Georgia Tech,2nd
2002,LB,Kendyll,Pope,Florida State,2nd
2002,DB,Justin,Miller,Clemson,2nd
2002,DB,Brian,Mance,Clemson,2nd
2002,DB,Madieu,Williams,Maryland,2nd
2002,DB,Jerton,Evans,Virginia,2nd
2002,SP,Fabian,Davis,Wake Forest,2nd
2002,P,Chance,Gwaltney,Florida State,2nd
2003,QB,Phillip,Rivers,NC State,1st
2003,RB,Chris,Douglas,Duke,1st
2003,RB,P.J. ,Daniels,Georgia Tech,1st
2003,WR,Jerricho,Cotchery,NC State,1st
2003,WR,Craphonso,Thorpe,Florida State,1st
2003,TE,Heath,Miller,Virginia,1st
2003,OL,Alex,Barron,Florida State,1st
2003,OL,Sean,Locklear,NC State,1st
2003,OL,C,J. Brooks,Maryland,1st
2003,OL,Tyson,Clabo,Wake Forest,1st
2003,C,Hugh,Reilly,Georgia Tech,1st
2003,PK,Nick,Novak,Maryland,1st
2003,SP,Steve,Suter,Maryland,1st
2003,QB,Matt,Schaub,Virginia,2nd
2003,RB,Chris,Barclay,Wake Forest,2nd
2003,RB,Wali,Lundy,Virginia,2nd
2003,WR,Jonathan,Smith,Georgia Tech,2nd
2003,WR,Derrick,Hamilton,Clemson,2nd
2003,TE,Jeff,Dugan,Maryland,2nd
2003,OL,Mark,Moroz,Wake Forest,2nd
2003,OL,Gregory,Walker,Clemson,2nd
2003,OL,Elton,Brown,Virginia,2nd
2003,OL,Jeb,Terry,North Carolina,2nd
2003,C,David,Castillo,Florida State,2nd
2003,PK,Connor,Hughes,Virginia,2nd
2003,SP,Derrick,Hamilton,Clemson,2nd
2003,DL,Darnell,Dockett,Florida State,1st
2003,DL,Eric,Henderson,Georgia Tech,1st
2003,DL,Randy,Starks,Maryland,1st
2003,DL,Matt,Zielinski,Duke,1st
2003,LB,Keyaron,Fox,Georgia Tech,1st
2003,LB,Michael,Boulware,Florida State,1st
2003,LB,Leroy,Hill,Clemson,1st
2003,DB,James,Butler,Georgia Tech,1st
2003,DB,Stanford,Samuels,Florida State,1st
2003,DB,Eric,King,Wake Forest,1st
2003,DB,Andre,Maddox,NC State,1st
